15 15 40 16
S -1 0 0 G5 -1 G4 0 0 0 0 0 0 0 G3
0 -1 0 -1 4 -1 -1 0 0 -1 0 0 0 -1 0
0 0 0 0 0 0 0 0 0 3 0 -1 0 0 0
0 0 -1 0 0 0 -1 12 -1 -1 0 -1 0 -1 0
0 -1 F3 0 -1 -1 -1 0 S1 -1 8 -1 -1 S2 0
0 0 0 0 0 0 -1 0 0 -1 0 0 0 0 0
0 -1 0 -1 -1 -1 -1 0 0 -1 0 0 0 0 0
0 0 0 0 0 0 0 F1 0 -1 0 -1 -1 0 0
0 -1 -1 0 0 -1 0 0 0 0 0 -1 0 0 S5
0 S3 -1 0 -1 -1 0 -1 -1 -1 0 -1 0 0 -1 
0 0 0 0 G2 8 0 0 0 0 0 0 0 -1 -1
0 0 -1 0 -1 0 0 -1 F2 0 -1 -1 3 0 0
5 -1 -1 0 0 0 0 3 0 0 0 -1 -1 -1 0
0 G1 0 -1 -1 -1 -1 -1 0 -1 0 5 0 -1 0
0 0 0 0 0 0 0 0 0 0 S4 -1 0 0 G
